x,y,score
Neopl-ACR,Neopl-ACR,NA
Neopl-ACR,Neopl-ECM,0.36
Neopl-ACR,Neopl-RNA-low,0.1
Neopl-ECM,Astrocyte TE,-0.11
Neopl-ECM,Astrocyte NT,-0.11
Neopl-ECM,Astrocyte R,-0.01
Neopl-ECM,OPC/COP/OLG,0.08
Neopl-ECM,Neural,-0.02
Neopl-ECM,Ependymal,-0.06
Neopl-ECM,Microglia,-0.58
Neopl-ECM,Macrophage,-0.49
Neopl-ECM,Dendritic,-0.35
Neopl-ECM,Neutrophil,-0.28
Neopl-ECM,NKTB,-0.26
Neopl-ECM,Choroid,-0.09
Neopl-ECM,Endothelial,-0.15
Neopl-ECM,Mural,-0.1
Neopl-ECM,Fibroblast,0.01
Neopl-ECM,Neopl-Bulk,0.62
Neopl-ECM,Neopl-CC-I,0.55
Neopl-ECM,Neopl-CC-II,0.34
Neopl-ECM,Neopl-CC-III,0.37
Neopl-ECM,Neopl-OPC,0.51
Neopl-ECM,Neopl-COP,0.35
Neopl-ECM,Neopl-NC,0.03
Neopl-ECM,Neopl-ACR,0.36
Neopl-ECM,Neopl-ECM,NA
Neopl-ECM,Neopl-RNA-low,0.31
Neopl-RNA-low,Astrocyte TE,-0.09
Neopl-RNA-low,Astrocyte NT,-0.09
Neopl-RNA-low,Astrocyte R,-0.08
Neopl-RNA-low,OPC/COP/OLG,0.01
Neopl-RNA-low,Neural,0.29
Neopl-RNA-low,Ependymal,0.06
Neopl-RNA-low,Microglia,-0.58
Neopl-RNA-low,Macrophage,-0.46
Neopl-RNA-low,Dendritic,-0.27
Neopl-RNA-low,Neutrophil,-0.18
Neopl-RNA-low,NKTB,-0.13
Neopl-RNA-low,Choroid,0.04
Neopl-RNA-low,Endothelial,-0.17
Neopl-RNA-low,Mural,-0.1
Neopl-RNA-low,Fibroblast,-0.06
Neopl-RNA-low,Neopl-Bulk,0.57
Neopl-RNA-low,Neopl-CC-I,0.54
Neopl-RNA-low,Neopl-CC-II,0.36
Neopl-RNA-low,Neopl-CC-III,0.36
Neopl-RNA-low,Neopl-OPC,0.39
Neopl-RNA-low,Neopl-COP,0.14
Neopl-RNA-low,Neopl-NC,0.4
Neopl-RNA-low,Neopl-ACR,0.1
Neopl-RNA-low,Neopl-ECM,0.31
Neopl-RNA-low,Neopl-RNA-low,NA
